query,rank,id,title,category,ce_score,ce_grade,human_grade,notes
API integration issues trouble shooting tips,1,pk_03475,Write API integration troubleshooting guide,knowledge-base,3.5291261672974,2,2,
API integration issues trouble shooting tips,2,pk_08400,Technical Support: API Integration Help,knowledge-base,1.5955858230591,2,2,
API integration issues trouble shooting tips,3,pk_05036,API error chatbot resolution flow,chatbot-flows,-0.6972867846489,0,0,no chatbot question asked
API integration issues trouble shooting tips,4,pk_09631,Fix intermittent API timeouts,debugging,-3.1780319213867,0,1,
API integration issues trouble shooting tips,5,pk_06116,api problem,coding,-3.6574711799622,0,1,
API integration issues trouble shooting tips,6,pk_09176,API Error Debugging Framework,debugging,-5.0061450004578,0,1,
API integration issues trouble shooting tips,7,pk_14259,Debug intermittent production issue,debugging,-5.4504232406616,0,0,no debugging asked
API integration issues trouble shooting tips,8,pk_00044,Create onboarding troubleshooting guide,knowledge-base,-5.3018808364868,0,0,irrelevant
API integration issues trouble shooting tips,9,pk_00767,Knowledge Base Article Outline,knowledge-base,-5.2321662902832,0,0,irrelevant
API integration issues trouble shooting tips,10,pk_18012,Design API chatbot integration flow,chatbot-flows,-4.8955411911011,0,0,no need to design chatbots
"`""best practices for JavaScript variable declaration""`",1,pk_04751,Unit Test Strategy for Pure Functions,testing,1.4347367286682,2,0,weak JavaScript connection
"`""best practices for JavaScript variable declaration""`",2,pk_16813,Environment variable management,devops,-0.28907051682472,0,0,irrelevant
"`""best practices for JavaScript variable declaration""`",3,pk_15113,Implement feature using best practices,coding,-1.0103036165237,0,0,not clear
"`""best practices for JavaScript variable declaration""`",4,pk_11996,React component testing best practices,testing,-0.98337554931641,0,0,no coding relation
"`""best practices for JavaScript variable declaration""`",5,pk_06021,Act as Security Expert for Code Review,code-review,-1.747011423111,0,0,irrelevant
"`""best practices for JavaScript variable declaration""`",6,pk_07635,Python Logging Best Practices,coding,-1.1023993492126,0,0,"the user asked about JavaScript, not Python"
"`""best practices for JavaScript variable declaration""`",7,pk_11987,Code review best practices,code-review,-2.5260109901428,0,1,
"`""best practices for JavaScript variable declaration""`",8,pk_01292,Implement TDD Workflow,testing,-1.6950350999832,0,0,no coding relation
"`""best practices for JavaScript variable declaration""`",9,pk_18679,variable naming is hard,coding,-1.3706452846527,0,0,no coding relation
"`""best practices for JavaScript variable declaration""`",10,pk_08084,Guide internationalization best practices,localization,-2.1416616439819,0,0,no coding relation
What did we cover in today's methodology class?,1,pk_03601,Methodology Evaluation Checklist,research,-0.37292033433914,0,0,the user asks bout the class notes and not about methodology
What did we cover in today's methodology class?,2,pk_12885,question about methodology class stuff,academic,-1.423131942749,0,1,
What did we cover in today's methodology class?,3,pk_05415,Sales forecasting methodology,sales,-2.2735385894775,0,0,the user asks bout the class notes and not about methodology
What did we cover in today's methodology class?,4,pk_18073,REVIEW MY METHODOLOGY SECTION,science-research,-2.373509645462,0,1,
